spell_name,description,arcana_needed,arcana_level,spell_type,base_mp,max_mp,casting_time,target_number
Protective Winds,You summon up a whipping wind that circles about you and protects you from harm. You gain a +2 to your Defense vs. ranged attacks. Anyone adjacent to you (friend or foe) suffers a ?1 penalty when making melee attacks. Potective winds last until the end of the encounter.,Air,Novice,Defense,4,4,Major Action,10
Voices on the Wind,"You can focus in on any conversation happening within 100 yards of you that you can see. The wind carries the conversation to your ears and you can hear it as clearly as if you were sitting next to the participants. You can switch to a different conversation as a major action. Voices on the wind lasts for 10 minutes, and you can extend it for 10 minutes for each 2 MP you spend.",Air,Novice,Utility,4,,1 minute,11
Wind Blast,"You send a powerful gust of wind from your outstretched hands or arcane device. The wind blast is 6 yards long and 4 yards wide. Anyone caught inside it must make a Strength (Might) test vs. your Spellpower or be knocked prone. The wind will also send light objects flying, blow out candles, etc.",Air,Journeyman,Attack,8,8,Major Action,14
Winds of Flight,"You summon winds that bear you aloft. You gain a flying Speed of 8 + Willpower. You must use the rules for flying found in Chapter 2: Basic Rules, though you retain your land speed while on the ground. Winds of flight lasts for 1 hour and you can extend it for up to 5 hours for a cost of 2 MP per hour.",Air,Master,Utility,10,20,Major Action,15
Bloodhound,"You can divine the presence of an object you have put a blood mark on or a living creature whose blood you have a sample of. You can get a sample of blood from any weapon that has damaged the target in combat. When you first cast the spell, you will know if the target is within a mile of you and if so, what direction. This lasts for 10 minutes and you can keep it active for 2 MP per further 10 minutes. While the spell is active, you will know what direction the target is from you. This acts like a beacon but the spell has no intelligence behind it. It can?t tell you how to navigate a maze to find the target, for example?only that the target is ?that way.?",Divination,Novice,Utility,4,,1 minute,11
Blood Mark,"You inscribe an object with an arcane mark unique to you that remains until you dismiss it (a free action). It requires a drop of your blood, although the mark itself is invisible to the naked eye. Once an object has a blood mark on it, you can track it with the bloodhound spell. You can maintain a number of blood marks equal to your Willpower at any one time.",Divination,Novice,Utility,3,3,1 minute,9
Ill Omens,"Your knowledge of the future makes one target vulnerable. When you meet the target in any type of encounter during the following 24 hours, you can choose to use ill omens as a free action. For the remainder of the encounter, the target suffers a ?2 penalty on ability tests based on one ability of your choice (Communication, Dexterity, etc.). Stunts based on that ability also generate ?2 stunt points. If the target makes a successful Willpower (Faith) test vs. your Spellpower, the ability test and stunt point penalties are only ?1. Ill omens is only effective fora single encounter and it cannot be cast again on the same target until the full 24 hours have passed.",Divination,Journeyman,Attack,8,8,1 minute,14
Good Omens,"Your knowledge of the future provides good fortune to your party. In the next combat encounter, you and your allies gain two benefits. First, each of you can re-roll your Initiative tests and take the better result. Second, you and your allies gain a +1 to your Defense for the whole encounter.",Divination,Master,Defense,10,10,1 minute,15
Rock Blast,"A blast of small rocks burst from your hand or arcane device at a visible enemy within 20 yards. They inflict 1d6 + Willpower penetrating damage and the target is knocked prone. If the target makes a successful Constitution (Stamina) test vs. your Spellpower, Rock blast only inflicts 1d6 penetrating damage and the target remains standing.",Earth,Novice,Attack,4,4,Major Action,12
Stone Cloak,"Your clothing takes on the toughness of stone while remaining pliable. Stone cloak gives you an Armor Rating equal to your Willpower ability for 1 hour. If you are wearing regular armor, stone cloak has no effect. You can only cast this on yourself.",Earth,Novice,Defense,3,3,1 minute,10
