name,social_class,description,focus_option_1,focus_option_2
Apprentice,Upper,"You?ve been trained by a spellcaster and were on your way to becoming a powerful mage. Your apprenticeship wasn?t easy, but you came out the other side with valuable knowledge and experiences that set you apart from those not able or willing to delve into the mystic arts.",Arcane Lore,Research
Artist,Lower,"Beauty drives you. It?s really all that matters. Whether beauty takes the shape of a painting, a sonnet, a sculpture, or something else entirely doesn?t matter. The fact that it?s beautiful and, most importantly, you made it, does. You?ve either apprenticed with another artist, perhaps in a studio with other wouldbe artists, or you have exceptional natural talent. Regardless, you likely specialize in a particular form of art. Now you just need to figure out how to make a living at it. ",Cultrual Lore,Evaluation
Criminal,Outsider,"You make your living on the streets. More accurately, you make your living off other people walking the streets. You were an urchin, orphan, or outcast with no place in the world until others taught you how to survive ... the hard way. Now, you know your way around the city. You know how to spot a mark. You know how to spot a house worth robbing. You also know, if you?re caught, you?re dead.",Deception,Lock Picking
Dilettante,Upper,"Being wealthy has afforded you opportunities to indulge in the best of life. You study what interests you, you wear whatever?s in fashion, you drink fine wines and eat refined foods, you have the most interesting friends, and you?re always on the lookout for the next bit of gossip. Life is fine, indeed. You may revel in your role as a member of the upper crust, or you may be the black sheep of your family. Ultimately what matters is that you?re never bored.",Gambling,Drinking
Exile,Outsider,"You are a true outcast. Wherever you?re from, you or your family did something that resulted in you being exiled. Perhaps you were on the wrong side of a war, had the wrong friends at the wrong time, made some business dealings that didn?t end well, or simply broke some very taboo laws. Whatever it was, you?ve lived on the road for a while, perhaps years, and know how to make your way in the world.",Bargaining,Cultural Lore
Guilder,Middle,"You work for one of the powerful mercantile or craft guilds that control trade in the larger cities. You may know a trade, or you may just know how to manipulate money and people to get what you want. Your talents and connections ensure you and your family do quite well, which is how you hope to keep it.",Etiquette,Crafting
Hermit,Outsider,"You left civilization for some reason to become a hermit. Perhaps you took a holy vow, perhaps you needed time alone to ponder an important question or remove yourself from a difficult situation, or perhaps you just don?t care for people and are happy to be on your own. Time on your own has hardened you and made you self-reliant.",Stamina,Self-Discipline
Initiate,Middle,"You are a believer and worshiper who has joined an organized religion. You may work as an acolyte or priest of a church, be a member of a circle of druids, or even a member of a cult. You have learned from holy books and other followers about your chosen religion or the natural world around you.",Religious Lore,Faith
Innkeeper,Middle,"You run or work at an inn. You know what?s needed to keep an inn running and the customers happy, or at least happy enough to pay you for services rendered. Your inn?s long term survival often relies on your ability to spot trouble before it happens. Sometimes by turning away people you have a bad feeling about, and sometimes by making friends you can rely on for support.",Bargaining,Empathy
Laborer,Lower,"You carry, lift, tote, throw, handle, move, or otherwise deal with loads of material that have to be moved off of or onto ships or wagons, or into buildings. The work isn?t difficult, but it is hard and you have the stamina and strength to show for it.",Stamina,Might
Merchant,Middle,"You have a way with people and you use that in your business dealings to become successful. You use your charisma to get the best deals or to convince others they?re getting the best deal, but all in service to your success. You may have a small merchant stand selling odds and ends in a bazaar or operate a thriving shop that specializes in carpets, foreign imports, or other valuables. Instead of a store, perhaps you travel from one place to another, buying unusual items in one place and transporting them to sell in another. Regardless of the type of merchant you are, you know how to come out ahead in any deal.",Bargaining,Deception
Noble,Upper,"You were born a noble and raised to believe not only that you?re naturally superior to everyone of a lower station, but that it was your role to take care of them as you would children who have no idea how to get by in the world. Some may call you snooty, but doing so only reveals their ignorance. You?ve always enjoyed the best in life and that is as it should be. If your family hasn?t managed to hold onto its position, you may be trying to regain it, but no matter what, you?re still a noble.",Etiquette,Heraldry
Official,Upper,"Your game is politics and you have risen to significant heights despite your non-noble birth. Perhaps it?s your way with the masses or your ability to convince others of the wisdom of your ideas, but people tend to follow your lead.",Leadership,Persuasion
Performer,Lower,"You are a dancer, actor, musician, singer, or some other sort of performer. You enjoy getting in front of a room of people and affecting them in some way with your performance. You especially like it when they show their appreciation in other ways, such as with money or affection.",Performance,Musical Lore
Pirate,Outsider,"You may not have been born on the water, but you call it home now. Any city you visit is merely a brief stop before heading back out to sea to find more ships to prey on. Perhaps you?re actually a lawless pirate with no loyalties but to your ship and captain, or perhaps you?re a privateer who only attacks and captures vessels of an enemy state. You may have been forcibly brought into your life as a pirate or signed up on your own in order to get away from a past you have no interest in reconnecting with.",Sailing,Intimidation
