skill_name,ability_name,description
Athletics,Strength,"Your Strength (Athletics) check covers difficult situations you encounter while climbing, jumping, or swimming."
Acrobatics,Dexterity,"Your Dexterity (Acrobatics) check covers your attempt to stay on your feet in a tricky situation, such as when you?re trying to run across a sheet o f ice, balance on a tightrope, or stay upright on a rocking ship?s deck."
Sleight of Hand,Dexterity,"Whenever you attempt an act of legerdemain or manual trickery, such as planting something on someone else or concealing an object on your person, make a Dexterity (Sleight of Hand) check."
Stealth,Dexterity,"Make a Dexterity (Stealth) check when you attempt to conceal yourself from enemies, slink past guards, slip away without being noticed, or sneak up on som eone without being seen or heard."
Arcana,Intelligence,"Your Intelligence (Arcana) check measures your ability to recall lore about spells, magic items, eldritch symbols, magical traditions, the planes of existence, and the inhabitants of those planes."
History,Intelligence,"Your Intelligence (History) check measures your ability to recall lore about historical events, legendary people, ancient kingdoms, past disputes, recent wars, and lost civilizations."
Investigation,Intelligence,"When you look around for clues and make deductions based on those clues, you make an Intelligence (Investigation) check."
Nature,Intelligence,"Your Intelligence (Nature) check measures your ability to recall lore about terrain, plants and animals, the weather, and natural cycles."
Religion,Intelligence,"Your Intelligence (Religion) check measures your ability to recall lore about deities, rites and prayers, religious hierarchies, holy symbols, and the practices of secret cults."
Animal Handling,Wisdom,"When there is any question whether you can calm down a dom esticated animal, keep a mount from getting spooked, or intuit an animal?s intentions, the DM might call for a Wisdom (Animal Handling) check."
Insight,Wisdom,"Your Wisdom (Insight) check decides whether you can determine the true intentions of a creature, such as when searching out a lie or predicting someone?s next move. Doing so involves gleaning clues from body language, speech habits, and changes in mannerisms."
Medicine,Wisdom,A Wisdom (Medicine) check lets you try to stabilize a dying com panion or diagnose an illness.
Perception,Wisdom,"Your Wisdom (Perception) check lets you spot, hear, or otherwise detect the presence of something. It measures your general awareness of your surroundings and the keenness of your senses."
Survival,Wisdom,"The DM might ask you to make a Wisdom (Survival) check to follow tracks, hunt wild game, guide your group through frozen wastelands, identify signs that owlbears live nearby, predict the weather, or avoid quicksand and other natural hazards."
Deception,Charisma,"Your Charisma (Deception) check determines whether you can convincingly hide the truth, either verbally or through your actions. This deception can encom pass everything from misleading others through ambiguity to telling outright lies."
Intimidation,Charisma,"When you attempt to influence someone through overt threats, hostile actions, and physical violence, the DM might ask you to make a Charisma (Intimidation) check."
Performance,Charisma,"Your Charisma (Performance) check determines how well you can delight an audience with music, dance, acting, storytelling, or som e other form of entertainment."
Persuasion,Charisma,"When you attempt to influence someone or a group of people with tact, social graces, or good nature, the DM might ask you to make a Charisma (Persuasion) check."
