talent_name,talent_description,mage_available,rouge_available,warrior_available,novice_description,journeyman_description,master_description
Alchemy,"You know how to create grenades using alchemical formulas. These vials are not magic, though some may treat them that way. If you have the ingredients, you can make a vial in an hour. See the Grenades section in Chapter 4: Euipment for details on the vials you can make with this talent.",TRUE,TRUE,TRUE,You can make blast vials and thunder vials.,You are at home in a laboratory. You can make fire vials and ice vials.,Your alchemical knowledge is vast. You can make acid vials and lighting vials.
Animal Training,You know how to train animals.,TRUE,TRUE,TRUE,"You know the basics of dealing with animals. With a week of training, you can teach an animal to follow a simple one-word command like ?heel,? ?follow,? or ?attack.? You can teach a single animal a number of commands equal to your Communication.","You can train animals to follow more complex commands, like ?guard this place? or ?return to me when strangers approach.? Teaching a complex command takes two weeks of training and the total number of commands a single animal can learn is equal to your Communication +2.","Your training can turn animals into prime examples of their kind. With a month of training, you can increase an animal?s Dexterity or Strength by 1. It also gains the Willpower (Morale) focus. An animal can only receive such training once."
Armor Training,"You have learned to fight while wearing armor. You only take the armor?s penalty to your Speed, while those without this talent suffer the penalty to all Dexterity-based tests and calculations (including Speed).",FALSE,FALSE,TRUE,You can wear leather and mail armor without suffering a penalty to Dexterity.,You can wear plate armor without suffering a penalty to Dexterity.,"You can get the most out of your armor. You gain the benefit of half the Armor Rating (rounded down) of your armor when you take penetrating damage. (Normally, armor provides no defense against penetrating damage.)"
Archery Style,You are experienced with bows and crossbows.,FALSE,TRUE,TRUE,"You know how to punish enemies who get too close.  When shooting a bow or crossbow at an enemy within 6 yards of you, you inflict +1 damage.","Due to long hours of practice, you can reload faster than common bowmen. You can Reload a bow as a free action and a crossbow as a minor action.","When shooting a bow or crossbow, you can perform the Lightning Attack stunt for 2 stunt points instead of the usual 3. (If you are using a crossbow you?ll also need to perform a Rapid Reload stunt to take advantage of this benefit, since you must have a loaded weapon to use Lightning Attack.)"
Carousing,You take your fun seriously.,TRUE,TRUE,TRUE,"You can drink other people under the table. When making Constitution (Drinking) tests as part of an advanced test, you gain a +1 bonus to the result of each Stunt Die. This allows you to reach the success threshold faster.","The tavern is your second home. Choose one of the following Communication focuses: Gambling or Seduction. If you fail a Communication test with your chosen focus, you can re-roll it but you must keep the result of the second roll.","When you?re having a good time, (you think) you?re invincible! Choose one of the following roleplaying stunts: Flirt or Tower of Will. You can perform that stunt for 3 SP instead of the usual 4 SP and you gain a +1 bonus to the opposed test for that stunt. Thus, if you choose Tower of Will, your bonus on opposed tests is +2 instead of the usual +1."
Chirurgy,You can treat wounds and illnesses.,TRUE,TRUE,TRUE,You have trained in the art of chirurgy and your aid is swift and sure. Heal is a minor action for you.,"You have the hands of a healer. When you use the Heal action, your ally gets back an amount of Health equal to (Stunt Die ? 2) + Intelligence.  ","Your healing ability is legendary. When you use the Heal action, your ally gets back an amount of Health equal to (Stunt Die ? 3) + Intelligence."
Command,You are a natural leader.,TRUE,FALSE,TRUE,"Your presence inspires your allies. If you take a major action to make a heroic gesture (raise your sword, shout a battle cry, wave a flag, etc.), your allies gain a +1 bonus to Willpower (Courage) tests for the rest of the encounter.",Your allies follow your lead. Any NPCs that you lead gain a +1 bonus when rolling for initiative.,"When you stand firm, your allies stand with you.  When you lead NPCs in an encounter, they do not have to take a Willpower (Morale) test until more than two-thirds of your side?s combatants are out of the fight (dead or incapacitated). If you leave the fight or fall in battle, this benefit is lost."
Contacts,"You know people, sometimes in the unlikeliest places.",TRUE,TRUE,TRUE,"You can attempt to make a contact out of a NPC with a successful Communication (Persuasion) test. The GM will set the target number based on the likelihood of you knowing the NPC or having mutual friends. The more distant the NPC?s homeland or social class from yours, the more difficult the test will be. A contact will be friendly to you, but won?t go out of the way to help you without additional motivation.  You can?t make a contact out of a NPC who already dislikes you or is an enemy.","Once you?ve established a contact, you can try to get a favor with another successful Communication (Persuasion) test. The target number is based on the nature of the favor and whether it puts the contact in any danger.  ","You can turn an acquaintance into an ally with a show of loyalty. If you do a significant favor for a contact, he will treat you as a friend when you ask him for favors. He will go out of his way to help you and will be willing to put himself in danger for you.  "
Dual Weapon Style,"You can fight with a weapon in your main hand (your primary weapon) and another in your off hand (your secondary weapon). Neither can be a two-handed weapon, and the secondary weapon is considered to have a Minimum Strength 2 higher than normal (you?d need Strength 1 to use a short sword as a secondary weapon, for example). Unless otherwise stated, your attacks come from the primary weapon.",FALSE,TRUE,TRUE,"Wielding two weapons can aid you in attack or defense. If you take the Activate action, you can gain either a +1 bonus on your melee attack rolls or a +1 Defense bonus vs.  chapter 3 - character options 43 44 melee attacks until the end of the encounter. You can switch the bonus you are taking with another Activate action.  ",You can perform the Lightning Attack stunt for 2 SP instead of the usual 3 but the extra attack must come from your secondary weapon.  ,"You can overwhelm opponents with blows from both weapons. If you make a Melee Attack with your primary weapon and you are not charging, you can make another attack with your secondary weapon as a minor action. The second attack cannot generate stunt points, and you only add half of your Strength (rounded down) to damage.  "
Horsemanship,You are a skilled rider and can handle horses and other beasts of burden with ease.,TRUE,TRUE,TRUE,You can jump into the saddle quickly. Mounting a steed is a free action for you.  ,"You can ride like the wind. When you ride a mount, it gains a +2 bonus to its Speed.  ","You were born in the saddle. You add +1 to your Defense while mounted. You may also re-roll a failed Dexterity (Riding) test, but you must keep the result of the second roll.  "
